"process_name","id","path","cpu_seconds","start_time"
"Discord","31616","C:\Users\kkids\AppData\Local\Discord\app-1.0.9241\Discord.exe","2999.046875","2026-06-13T23:44:10"
"DiscordSystemHelper","32064",,"1.015625","2026-06-13T23:44:17"
"DiscordSystemHelper","32260",,"60.484375","2026-06-13T23:44:17"
"dispatcher","6392",,,
"dllhost","6488","C:\WINDOWS\system32\DllHost.exe","0.1875","2026-06-13T20:48:35"
"dllhost","26412","C:\WINDOWS\system32\DllHost.exe","0.328125","2026-06-13T20:48:35"
"dwm","2060",,,
"explorer","9480","C:\WINDOWS\Explorer.EXE","967.71875","2026-06-13T15:56:04"
"extension-host","20236","C:\Users\kkids\.codex\plugins\cache\openai-bundled\chrome\latest\extension-host\windows\x64\extension-host.exe","1.125","2026-06-14T19:08:04"
"FMSISvc","34108",,,
"FNPLicensingService64","5172",,,
"fontdrvhost","1308",,,
"fontdrvhost","1760",,,
"FvContainer","31780","C:\Program Files\NVIDIA Corporation\FrameViewSDK\FvContainer\FvContainer.exe","103.859375","2026-06-14T17:33:19"
"FvContainer.System","12240",,,
"GameInputRedistService","4956",,,
"GameInputRedistService","7044","C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe","0.125","2026-06-13T15:56:01"
"GameInputSvc","3440",,,
"GameInputSvc","24240",,,
"GameManagerService3","5068",,,
"gamingservices","5488",,,
"gamingservicesnet","6924",,,
"Gbt.GpuPowerGear.Proxy","12616","C:\Program Files\GIGABYTE\Control Center\Lib\GBT_NbSrv\PgSvc\Gbt.GpuPowerGear.Proxy.exe","0.28125","2026-06-13T15:56:30"
"Gbt.GpuPowerGear.Service","12860",,,
"GCC","10692",,,
"GiMATE_ai","18128","C:\Program Files\GIGABYTE\GiMATE_ai\GiMATE_ai.exe","199.171875","2026-06-13T15:56:08"
"GiMATE_ai","20656","C:\Program Files\GIGABYTE\GiMATE_ai\GiMATE_ai.exe","338.84375","2026-06-13T15:56:27"
"GiMATE_llm","12892","C:\Program Files\GIGABYTE\GiMATE_ai\GiMATE_llm.exe","43.15625","2026-06-13T15:56:29"
"GimateServiceHelper","10768",,"0.375","2026-06-13T15:56:03"
"HidHideWatchdog","5188",,,
"HWiNFO64","27084",,"6434.96875","2026-06-13T21:42:40"
"Idle","0",,,
"javaw","28524","C:\Program Files (x86)\Steam\steamapps\common\3DMark\bin\x64\jre\bin\javaw.exe","155.640625","2026-06-14T12:39:20"
"logi_lamparray_service","5140",,,
"LsaIso","1616",,,
"lsass","1624",,,
"Memory Compression","3976",,,
"MicrosoftStartFeedProvider","18624","C:\Program Files\WindowsApps\Microsoft.StartExperiencesApp_1.302.5.0_x64__8wekyb3d8bbwe\MicrosoftStartFeedProvider\MicrosoftStartFeedProvider.exe","2.140625","2026-06-13T15:56:09"
"MoUsoCoreWorker","13752",,,
"MpDefenderCoreService","5100",,,
"mscopilot_proxy","24644","C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe","0.328125","2026-06-13T20:48:35"
"msedge","7136","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10.171875","2026-06-14T19:08:02"
"msedge","11232","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0.203125","2026-06-14T19:08:01"
"msedge","11908","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0.171875","2026-06-14T19:08:02"
"msedge","12076","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0.28125","2026-06-14T19:08:02"
"msedge","14460","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","13.640625","2026-06-14T19:08:01"
"msedge","16328","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","1.015625","2026-06-14T19:08:02"
"msedge","18484","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","2.875","2026-06-14T19:08:03"
"msedge","34472","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","1.34375","2026-06-14T19:08:02"
"msedge","34636","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0.875","2026-06-14T19:08:02"
"msedgewebview2","14668","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","43.703125","2026-06-13T16:24:08"
"msedgewebview2","15080","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","16.046875","2026-06-13T16:24:08"
"msedgewebview2","15528","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","4.734375","2026-06-13T16:24:08"
"msedgewebview2","15928","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","18.84375","2026-06-13T15:56:06"
"msedgewebview2","16036","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","0.8125","2026-06-13T16:24:08"
"msedgewebview2","16344","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","9.40625","2026-06-13T16:24:08"
"msedgewebview2","16360","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","0.578125","2026-06-13T15:56:06"
"msedgewebview2","16672","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","0.953125","2026-06-13T16:24:08"
"msedgewebview2","17184","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","7.765625","2026-06-13T15:56:07"
"msedgewebview2","17224","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","4.671875","2026-06-13T15:56:07"
"msedgewebview2","17332","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","28.609375","2026-06-13T15:56:07"
"msedgewebview2","17344","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe","1.015625","2026-06-13T15:56:07"
"MSIAfterburner","10260",,"918.078125","2026-06-13T21:29:32"
"MsMpEng","4864",,,
"mWinDetector","27304","C:\Program Files\MSIDisplayKit\mWinDetector.exe","0.65625","2026-06-14T17:13:23"
"NgcIso","4648",,,
"NisSrv","18460",,,
"node_repl","4468","C:\Users\kkids\AppData\Local\OpenAI\Codex\runtimes\cua_node\789504f803e82e2b\bin\node_repl.exe","0.03125","2026-06-14T19:59:20"
"node_repl","11220","C:\Users\kkids\AppData\Local\OpenAI\Codex\runtimes\cua_node\789504f803e82e2b\bin\node_repl.exe","0.015625","2026-06-14T18:24:18"
"node_repl","31480","C:\Users\kkids\AppData\Local\OpenAI\Codex\runtimes\cua_node\789504f803e82e2b\bin\node_repl.exe","0.015625","2026-06-14T20:48:25"
"node_repl","34352","C:\Users\kkids\AppData\Local\OpenAI\Codex\runtimes\cua_node\789504f803e82e2b\bin\node_repl.exe","0.015625","2026-06-14T20:48:25"
"nvcontainer","4984",,,
"nvcontainer","8908",,,
"nvcontainer","8924","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","130.5","2026-06-13T15:56:02"
"nvcontainer","8940","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","191.671875","2026-06-13T15:56:02"
"NVDisplay.Container","3612",,,
"NVDisplay.Container","6356",,,
"nvfvsdksvc_x64","3988",,,
"NVIDIA Overlay","6908","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe","15.4375","2026-06-14T02:56:50"
"NVIDIA Overlay","10568","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe","2.734375","2026-06-14T02:56:50"
"NVIDIA Overlay","14456","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe","182.234375","2026-06-14T02:56:50"
"NVIDIA Overlay","26588","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe","162","2026-06-14T02:56:51"
"NVIDIA Overlay","33728","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe","238.84375","2026-06-14T02:56:49"
"nvrla","15636","C:\Program Files\NVIDIA Corporation\FrameViewSDK\bin\nvrla.exe","0.421875","2026-06-14T17:33:19"
"nvsphelper64","12108",,"287.59375","2026-06-13T15:56:04"
"OCCT","24280",,"1814.140625","2026-06-14T17:25:34"
"OneDrive.Sync.Service","29120","C:\Users\kkids\AppData\Local\Microsoft\OneDrive\26.088.0510.0004\OneDrive.Sync.Service.exe","50.78125","2026-06-13T22:16:40"
"OSDwindow","15012","C:\Program Files\GIGABYTE\Control Center\Lib\GBT_NbSrv\OSDwindow.exe","4.53125","2026-06-13T15:56:28"
"plasticd","5212",,,
"powershell","14592",,"4.6875","2026-06-14T19:07:06"
"powershell","15520","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","0.703125","2026-06-14T21:10:06"
"powershell","16496","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","1","2026-06-14T21:07:44"
"powershell","19860","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","2.828125","2026-06-14T18:24:33"
"powershell","26492","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0.375","2026-06-14T21:07:44"
"PresentMon_x64","10672",,,
"Raycast","20020","C:\Program Files\WindowsApps\Raycast.Raycast_0.63.0.0_x64__qypenmj9wpt2a\Raycast\Raycast.exe","0","2026-06-13T15:56:19"
"Razer Central","10696","C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe","147.0625","2026-06-13T15:57:14"
"razer_elevation_service","23500",,,
"RazerAppEngine","1112","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","24.9375","2026-06-13T15:58:02"
"RazerAppEngine","1752","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","10.40625","2026-06-14T01:24:30"
"RazerAppEngine","2288","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","23.890625","2026-06-13T15:58:02"
"RazerAppEngine","4452","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","597.09375","2026-06-13T15:58:01"
"RazerAppEngine","23628","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","15.359375","2026-06-13T15:58:03"
"RazerAppEngine","24708","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","17.09375","2026-06-13T15:58:04"
"RazerAppEngine","24720","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","5.53125","2026-06-13T15:58:04"
"RazerAppEngine","25024","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","34.453125","2026-06-13T15:58:04"
"RazerAppEngine","25040","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","17.734375","2026-06-13T15:58:04"
"RazerAppEngine","25164","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","32.6875","2026-06-13T15:58:09"
"RazerAppEngine","25436","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\RazerAppEngine.exe","26.65625","2026-06-13T15:58:05"
"RazerCentralService","5008",,,
"RazerCortex","21760",,"4089.625","2026-06-13T15:57:08"
"Registry","280",,,
"remotesolverdispatcherservice","5180",,,
"RtkAudUService64","2488","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_7d0859287b5acd75\RtkAudUService64.exe","15.21875","2026-06-13T15:56:36"
"RtkAudUService64","5040",,,
"RtkAudUService64","24968","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_7d0859287b5acd75\RtkAudUService64.exe","2.5625","2026-06-13T16:09:21"
"RtkBtManServ","5204",,,
"RuntimeBroker","4292","C:\Windows\System32\RuntimeBroker.exe","1.46875","2026-06-13T15:57:06"
"RuntimeBroker","13876","C:\Windows\System32\RuntimeBroker.exe","31.765625","2026-06-13T15:56:05"
"RzEngineMon","9356","C:\Program Files\Razer\RazerAppEngine\app-4.0.683\CommonDLL\RzEngineMon.exe","0.375","2026-06-13T15:58:03"
"RZTHXHelper","23732","C:\Windows\System32\RZTHXHelper.exe","3.3125","2026-06-13T15:57:37"
"RZTHXService","5052",,,
"RzUpdateEngineService","5000",,,
"SearchFilterHost","29512",,,
"SearchHost","10756","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","59.8125","2026-06-13T15:56:05"
"SearchIndexer","33000",,,
"SearchProtocolHost","7628",,,
"Secure System","236",,,
"SecurityHealthService","23636",,,
"services","1596",,,
"ShellExperienceHost","11388","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","4.140625","2026-06-13T15:57:06"
"ShellHost","11212","C:\Windows\System32\ShellHost.exe","0.875","2026-06-13T15:56:04"
"sihost","10272","C:\WINDOWS\System32\sihost.exe","13.515625","2026-06-13T15:56:03"
"smss","848",,,
"spoolsv","15200",,,
